"","Id","Last"
"1",1,587159944704
"4",5,1
"5",6,12
"7",10,1
"8",12,-4.43380805770309e+25
"9",14,4.37049241539324e+27
"10",17,3.969611069882e+23
"11",19,1
"13",25,1
"14",27,5.37717519717766e+21
"15",29,1155
"16",30,2
"18",32,-4420
"19",33,1
"21",38,1.39954142818044e+31
"22",39,1234567
"23",42,1
"24",43,5.60479588741835e+24
"25",45,1
"26",47,12907
"28",50,93953872
"29",54,32
"30",55,143
"31",56,1.7884809465764e+22
"32",58,154
"34",62,2
"35",68,1
"37",71,8
"38",74,4
"40",79,159
"41",80,1
"42",81,3.19568604143617e+22
"45",85,344
"46",87,1
"49",93,1
"50",96,136
"52",98,3
"53",99,-2.24816417997544e+33
"54",101,2.85680067043822e+36
"55",103,1
"56",106,3
"59",116,24
"61",120,5
"62",121,1
"63",122,1
"65",125,1
"67",128,3
"68",129,-4.83282509116829e+22
"69",131,4798
"71",140,1
"72",142,1
"73",143,2
"74",144,1670
"75",145,1
"76",146,2
"77",148,1.11646930171187e+24
"78",151,1.26765060022823e+29
"79",153,3
"80",154,1
"81",156,1.70465884023737e+26
"85",170,1
"86",172,214
"87",173,187
"88",175,1
"89",180,1
"90",182,1
"92",184,5921542148922744
"93",187,499
"94",189,5.90808183948145e+22
"95",191,1
"97",194,57
"100",197,131
"102",200,8.2639043697428e+25
"103",201,1
"105",207,1
"106",209,9
"107",214,1
"108",216,4
"109",218,-2.21227245899842e+28
"111",230,2
"112",231,1
"113",232,-24
"115",234,1
"120",243,40845722318
"121",247,68207
"122",248,1
"123",250,270604
"124",252,1
"126",257,1
"128",261,9
"133",273,23587286905945796608
"134",274,5
"135",279,1
"137",283,5750323398372671488
"140",291,5.51343268152723e+29
"141",292,1
"142",301,1
"143",307,-1
"144",309,5.43867447393219e+27
"145",312,3921
"146",314,5.80793401200212e+36
"147",316,2
"148",321,4.64092875294121e+35
"149",322,4
"153",331,5818
"154",333,5
"155",337,809806239656454656
"156",338,1
"157",341,47803963
"158",342,10235749
"159",343,7.69246866811236e+29
"161",345,1
"162",346,4522572150630
"163",348,-118
"165",351,1
"166",353,1
"168",356,1
"171",360,5
"172",362,135085171767299216
"173",363,4.47362835296127e+35
"174",364,3
"176",367,97
"177",368,1
"179",370,1
