"","Id","Last"
"39",78,5873945233705
"43",83,6
"64",124,267786673
"66",127,11
"82",157,302
"83",161,225
"96",193,666
"110",228,234
"114",233,3
"116",235,693
"118",239,5662052980
"119",240,1502
"131",269,21
"151",325,320
"164",349,78502725751
"170",358,26728034
"178",369,3
"182",376,144
"198",401,2600
"210",418,324259173170675712
"220",442,1
"224",450,1180610
"232",462,3.09485009821345e+26
"235",471,1941624275200
"254",498,124192270
"266",524,697
"272",532,1
"301",583,86
"314",616,146370
"320",635,199976918230722624
"333",665,148
"342",679,4861
"347",687,1003928499625
"351",695,383
"365",720,20472344560800
"375",741,4
"378",745,1
"401",781,1
"405",788,5202
"413",808,984550153040694272
"415",812,92416515221
"418",818,13
"421",822,16237
"452",885,95
"463",904,217200
"480",940,23550975203
"489",953,166771816996665664
"496",969,-12
"527",1033,26
"533",1044,5919984
"539",1051,246425309
"542",1060,89900
"544",1067,7
"550",1089,260408317270
"553",1093,512
"566",1121,2189
"570",1132,1808
"585",1167,8388569
"601",1201,8.78420022140682e+20
"664",1345,8113505
"692",1406,164
"701",1418,35749200
"720",1456,2423
"724",1461,653192251196
"758",1541,-31057776
"766",1559,183765996899
"767",1561,12597
"771",1566,1
"784",1598,10966713178192200
"793",1622,202585437
"794",1624,1548008754265
"817",1670,74
"819",1674,15453
"827",1686,3582
"868",1757,24922141
"869",1758,88574
"884",1791,82
"885",1792,32297
"907",1833,9894704
"913",1849,1117173669768
"923",1867,2
"938",1895,176991240190
"954",1934,8676278
"964",1963,178579807
"968",1975,615691547
"971",1984,5750463
"1007",2053,586649945651116
"1026",2091,1
"1033",2104,77
"1039",2114,8
"1040",2115,4
"1045",2125,2497
"1056",2147,395444141299200
"1172",2390,175
"1175",2394,345948408
"1176",2400,7416983
"1182",2410,75
"1199",2448,741
"1224",2489,4
"1232",2502,7006302246093750272
"1251",2539,3446451386
"1266",2564,1
"1275",2585,3828
"1280",2596,1
"1298",2628,2620797529
"1314",2653,225275778
"1320",2665,49954191
"1326",2676,20826990101
"1341",2704,301
"1342",2707,649140
"1344",2709,147
"1349",2721,222222
"1361",2742,-2
"1376",2764,283171508977
"1386",2784,3704184
"1387",2786,-33
"1421",2849,2
"1447",2900,442175629583316
"1454",2916,716602502197270656
"1456",2920,8687
"1459",2925,878503
"1464",2935,849431811638310912
"1476",2960,90
"1485",2982,40304433
"1505",3026,465
"1511",3041,1150110
"1520",3059,631
"1534",3088,18
"1535",3091,174
"1546",3113,174
"1566",3155,3431847189
"1569",3159,2187020050
"1575",3174,606800
"1582",3188,842
"1595",3213,9.68575477600098e+20
"1604",3229,14176
"1613",3242,38
"1618",3250,11398895182897044
"1630",3280,44
"1640",3305,42
"1659",3342,256
"1665",3353,846
"1667",3357,125
"1690",3407,571
"1697",3421,2
"1715",3464,2201030157
"1721",3476,4288
"1726",3482,276481264786
"1745",3519,1683408
"1756",3538,6531893843049
"1777",3592,168
"1845",3704,182717549872
"1855",3719,475219625
"1856",3721,2
"1874",3757,2147483648
"1902",3818,407
"1915",3846,1833947441
"1950",3916,4294967297
"1969",3950,4419660881
"1970",3951,3
"1979",3968,6060
"1988",3981,2592
"1991",3985,867
"2012",4031,22
"2024",4054,181
"2032",4068,16106126460
"2039",4084,604384
"2045",4097,1942080
"2070",4142,181589
"2075",4152,310
"2080",4163,2082852801
"2082",4165,68
"2085",4169,101039
"2089",4173,846
"2091",4177,2
"2096",4184,1790744248612872
"2097",4185,38
"2115",4221,53361338962
"2117",4227,621240
"2128",4243,3138916347
"2131",4251,213115529239825280
"2133",4256,335920
"2138",4267,396323283724
"2146",4282,3787984200
"2147",4284,5372879347712
"2154",4302,166771816996665664
"2169",4329,1475789056
"2184",4362,2478770
"2185",4363,1
"2188",4372,275797332135
"2197",4391,1174409216
"2210",4418,21524
"2214",4428,1
"2217",4432,5
"2222",4440,3188443
"2232",4452,19425008
"2269",4530,3008628
"2316",4616,44573099803921776
"2325",4636,2408764
"2338",4673,-127083514
"2344",4685,-175
"2360",4722,-4172806133425
"2373",4750,12670967612
"2398",4798,2592895658763
"2399",4799,2054
"2408",4818,1433
"2413",4836,2477461176578
"2418",4845,52
"2419",4847,11529853541
"2429",4864,487641600
"2440",4881,82
"2460",4919,400
"2468",4929,3854620
"2476",4944,21
"2487",4972,365435492581
"2503",5009,2147549185
"2542",5079,124900
"2546",5083,435
"2550",5090,763145088
"2562",5111,132
"2604",5195,900491803
"2625",5238,8052605
"2654",5290,4
"2665",5309,18917726
"2687",5363,30
"2690",5367,1525
"2702",5395,13454496
"2709",5408,66107866110
"2711",5416,629414866
"2718",5426,1000969842322592000
"2727",5437,248947050
"2743",5465,599995
"2753",5482,4
"2763",5506,53
"2771",5522,98304
"2780",5542,183
"2789",5560,2
"2790",5562,2691
"2811",5602,675
"2818",5619,8155307267711
"2819",5620,1890
"2824",5628,814
"2827",5632,2.42222059270655e+22
"2850",5689,788674
"2866",5719,78
"2880",5746,898
"2895",5772,15
"2897",5779,456768
"2914",5815,8721784692709
"2933",5858,150628856
"2946",5884,59
"2951",5892,5619290544
"2979",5947,617864098
"3004",6004,9.68575477600098e+20
"3011",6014,133
"3034",6046,200512266365651840
"3041",6060,43
"3051",6080,400137192
"3052",6082,146875717
"3065",6107,192233359691316000
"3106",6174,4294770662
"3125",6206,150090820599733472
"3161",6278,266
"3173",6294,21322314
"3181",6307,6.17552771806492e+22
"3187",6317,60044932
"3194",6330,108
"3197",6337,666667938232421888
"3217",6375,105
"3239",6428,31744440
"3240",6430,3888
"3261",6462,71
"3268",6474,39
"3282",6496,-1
"3285",6503,102
"3287",6516,8532750
"3295",6527,51523614927176687616
"3296",6528,9369317
"3297",6530,695069728
"3310",6554,343
"3314",6566,2330445
"3342",6622,121475619747091
"3359",6649,3407
"3365",6661,250
"3367",6663,136884293
"3391",6707,255930
"3397",6719,10011386405999
"3400",6729,1
"3411",6758,24595658780694282240
"3416",6766,71
"3419",6773,3270752362
"3439",6810,135074742368993280
"3455",6840,112925875764
"3457",6843,30233087
"3470",6874,4011
"3493",6925,9
"3509",6960,91834772480
"3523",6985,135112472
"3526",6993,700
"3530",6999,693
"3538",7012,151
"3544",7037,5
"3574",7108,28572
"3579",7119,7.56036214684208e+22
"3581",7123,5
"3586",7137,14283
"3597",7171,81004
"3623",7226,100
"3641",7258,76
"3672",7323,159681826564
"3677",7335,10335
"3681",7342,31622993
"3685",7349,6108
"3692",7360,107
"3697",7377,7154833690143260
"3703",7395,19
"3704",7398,114
"3707",7404,211016
"3721",7429,327967
"3727",7441,1365
"3743",7472,1711151039052838
"3753",7488,182717648081
"3776",7529,150493827160493888
"3797",7565,597
"3813",7592,13
"3826",7618,3.88543302972306e+22
"3829",7624,103106587509
"3830",7625,118
"3835",7635,3714513
"3859",7686,1218912
"3860",7687,199
"3865",7694,1418980313358962176
"3883",7734,4718592
"3885",7736,37941757
"3888",7739,1883406215
"3897",7758,468198
"3909",7781,-2
"3919",7796,2500
"3924",7804,1.83318506683901e+25
"3926",7806,1
"3932",7816,5
"3954",7853,402
"3956",7857,1477399307
"3968",7883,3478856050
"3969",7888,175
"3974",7896,92
"3988",7930,112
"4000",7951,4873922247
"4014",7974,3214039171
"4025",7989,278630854386
"4039",8010,9.25563052021109e+21
"4042",8013,60
"4044",8020,192
"4054",8042,1
"4058",8056,876543
"4059",8058,15679
"4061",8060,112659084
"4064",8068,1618
"4066",8070,8877786554881
"4074",8088,1
"4075",8089,240051
"4090",8111,31571
"4092",8113,210
"4109",8143,122156223100160
"4126",8175,1
"4137",8202,111603564544
"4139",8204,3
"4177",8269,1
"4181",8279,427
"4205",8329,1205229864917272
"4227",8394,2
"4228",8395,265838881
"4239",8414,4
"4246",8424,4
"4260",8451,29552672
"4265",8460,1
"4280",8480,4539
"4285",8492,51
"4291",8509,17
"4292",8510,30
"4303",8527,4433497296
"4331",8584,1375
"4332",8586,207346
"4337",8596,96071
"4342",8607,53355454366531240
"4347",8614,67535213191279680
"4353",8629,1.93152299426992e+22
"4360",8645,64
"4368",8660,1.09802502767585e+20
"4371",8666,153602013
"4386",8699,500
"4401",8725,7392
"4413",8749,134
"4417",8754,1139
"4421",8761,23
"4435",8786,2672
"4436",8788,2342
"4455",8828,3
"4468",8858,-5702888
"4470",8861,546053643671244
"4477",8869,25
"4479",8872,3.99906634199402e+27
"4480",8874,735
"4483",8880,177428889407488
"4494",8907,51523614927176687616
"4541",8986,2355561039070
"4546",8999,-1157154
"4564",9039,386206920
"4588",9080,323260
"4589",9083,3.02231454903657e+23
"4592",9086,127
"4605",9115,7317351687
"4612",9129,227056896
"4628",9174,13298160713181668
"4639",9205,14135346
"4694",9347,1
"4696",9355,7006302246093750272
"4701",9367,88
"4705",9376,3
"4710",9385,1709
"4723",9413,15
"4739",9435,1
"4761",9487,202809445
"4762",9490,1
"4765",9496,325651752496199808
"4770",9508,2
"4821",9614,57
"4826",9624,5584
"4829",9628,845476670115
"4833",9634,38
"4843",9651,8
"4844",9654,171045
"4846",9663,232600215969
"4848",9666,1808
"4854",9680,5267018100967
"4864",9712,2.7822807178893e+20
"4866",9716,1
"4869",9719,4
"4883",9750,13554191912090
"4903",9783,-774004377960
"4917",9809,40
"4934",9845,1
"4937",9851,2775641472
"4940",9860,735
"4947",9870,268435455
"4958",9893,10538906472
"4992",9961,22802798712088641536
"5003",9984,915863373
"5004",9985,30720
"5006",9990,5
"5012",9998,4
"5016",10003,795423120883328
"5030",10035,5
"5066",10101,87751624
"5077",10124,268
"5085",10139,83776
"5086",10140,43443243
"5135",10251,23820484
"5143",10267,4
"5144",10268,7395973794001
"5154",10283,96
"5155",10287,117
"5163",10300,84
"5166",10306,1
"5188",10350,45397276
"5189",10353,62871104506391
"5195",10362,1
"5196",10365,2
"5219",10407,17
"5229",10427,179
"5235",10437,1e+23
"5239",10443,2601
"5242",10447,1.42731723758708e+23
"5262",10478,30
"5291",10526,27264286720
"5297",10533,25
"5300",10543,4
"5318",10590,2301
"5331",10613,785166286
"5338",10624,32
"5347",10640,18136170496
"5351",10649,1144016
"5371",10693,114
"5414",10783,-1
"5420",10792,95
"5421",10793,1607521
"5430",10811,721333090
"5431",10813,41
"5453",10858,220
"5456",10863,233
"5458",10865,129324
"5459",10867,70644700037184
"5471",10887,615693345
"5478",10897,233
"5492",10930,42115658841
"5493",10931,2363
"5506",10962,1
"5521",10999,2
"5527",11008,202
"5555",11069,22517
"5586",11124,277150
"5597",11143,1289
"5616",11185,33333333336666669056
"5648",11268,60
"5656",11283,1782
"5665",11304,13915
"5678",11329,420
"5711",11386,2
"5725",11411,10828
"5735",11433,68
"5747",11461,75
"5755",11478,14
"5762",11490,387215773899
"5786",11536,855308552375931136
"5803",11573,2032690173290461
"5810",11589,149787196117
"5815",11599,850676
"5822",11608,-1
"5826",11615,2
"5830",11623,33
"5860",11692,1350637
"5897",11786,1
"5938",11874,3568193
"5944",11884,7.99897915464048e+22
"5956",11913,3221225472
"5971",11942,2810
"5972",11943,3651953125
"5977",11954,6076
"5978",11955,78
"5983",11965,3523868888
"5994",11979,9065
"5997",11986,141645022818314592
"6004",12007,2923
"6009",12012,551396758362865920
"6023",12056,178087472832
"6024",12057,839451764
"6034",12088,202
"6038",12101,3580
"6041",12108,404
"6052",12126,127
"6054",12130,1098755137703826944
"6069",12158,39083988
"6081",12180,107140971422686
"6082",12186,705317760
"6100",12235,29
"6110",12258,176
"6128",12296,5501
"6132",12300,745519107896648
"6135",12306,38809
"6158",12363,79
"6165",12374,113592912687029168
"6172",12385,2
"6207",12444,14
"6241",12519,109401520982
"6242",12521,1534997482
"6248",12529,1
"6249",12530,2789
"6256",12549,3442
"6287",12615,4
"6297",12629,39088169
"6304",12641,7715
"6305",12643,2
"6328",12695,2
"6340",12714,3
"6347",12726,13880
"6352",12741,45133056
"6362",12761,43049114085159
"6363",12764,72
"6373",12782,79783443
"6387",12807,1806
"6395",12818,99481
"6400",12831,100
"6404",12837,2542557383
"6417",12863,-1
"6461",12951,1416755525
"6489",13017,8
"6502",13044,42114540398
"6505",13050,33232
"6516",13089,96314109338492224
"6522",13103,103679124
"6529",13113,3
"6531",13123,380
"6535",13132,29070
"6546",13157,237343357526002
"6554",13179,1806
"6555",13180,606
"6556",13181,131082
"6560",13188,200
"6577",13227,163982758812193
"6585",13249,-1
"6590",13257,-1
"6603",13283,4420
"6606",13289,1996
"6612",13300,189
"6637",13353,3
"6641",13361,3990690
"6654",13384,1401149311
"6673",13423,4
"6680",13435,1
"6681",13436,600
"6695",13469,4358
"6711",13515,857142857142857088
"6717",13524,2
"6726",13538,147669797096652800
"6750",13587,115
"6764",13607,41984
"6781",13646,52
"6802",13687,107
"6809",13705,128535030
"6812",13711,9.68575477600098e+20
"6813",13713,660
"6820",13724,9
"6822",13728,1
"6848",13774,22865249731921
"6852",13779,74
"6855",13783,27051089
"6870",13825,10
"6873",13830,1
"6874",13832,-101992905
"6887",13862,17295
"6893",13881,160630
"6924",13941,4807512695
"6939",13970,268717
"6940",13971,22906492245
"6950",13988,1
"6972",14031,25674625681
"6998",14070,1560
"7004",14085,128
"7012",14100,73
"7019",14117,4
"7029",14132,1
"7041",14157,619
"7044",14164,111560320
"7047",14172,14
"7056",14187,4
"7058",14190,69
"7080",14234,2860
"7096",14265,60382523986417
"7115",14303,3276588012
"7126",14330,1150602624
"7129",14334,152724992
"7132",14341,259695496911122560
"7135",14349,-1048576
"7139",14368,1
"7144",14378,155
"7149",14392,177146855537986
"7166",14422,9.09184363247043e+20
"7169",14427,306021
"7185",14454,28175
"7190",14461,110
"7221",14522,338368649551172480
"7228",14541,3105779083686027
"7240",14570,9
"7283",14654,1
"7287",14662,2.86528778633708e+20
"7289",14669,-847288609443
"7297",14682,2385279
"7303",14698,219355632
"7318",14732,1
"7320",14736,3
"7322",14738,8
"7325",14743,15876
"7349",14788,16373939547096
"7367",14818,956
"7389",14860,10
"7393",14870,1498
"7406",14902,2
"7434",14970,969869968690732
"7449",15003,1251
"7457",15028,78
"7460",15035,130862284800
"7462",15037,173726604657
"7489",15089,50291934390077
"7494",15098,334504592037294336
"7496",15105,27
"7526",15163,372974046999
"7534",15176,240
"7548",15210,89
"7564",15246,60413235
"7567",15251,259
"7583",15290,6
"7584",15291,109
"7586",15294,1736791875
"7624",15374,5002992156783
"7625",15375,5
"7626",15376,22369621
"7647",15423,131
"7649",15425,55627148806321
"7654",15451,196417
"7656",15454,261062105099480160
"7666",15472,897
"7672",15483,1
"7673",15488,14757395258967642112
"7679",15497,144437380023772896
"7696",15529,4337860898
"7726",15586,1.09467944788008e+20
"7727",15587,172976
"7736",15607,22343
"7740",15613,136
"7743",15619,11857510
"7750",15635,4
"7757",15644,2137216112616751616
"7763",15655,3
"7768",15662,8283070
"7791",15718,17191
"7801",15738,-1432099056
"7806",15750,69192000
"7813",15766,6
"7817",15770,5
"7820",15776,57893535673021296
"7826",15790,15672
"7833",15803,1370286347625
"7835",15806,75
"7838",15811,1174
"7866",15861,14152381
"7882",15893,52
"7902",15946,4501187503
"7914",15969,12321
"7963",16063,19447328987316
"7996",16130,673
"8039",16217,125
"8077",16281,6
"8078",16282,440904162738176
"8109",16342,2741065994769
"8125",16377,9
"8153",16428,427517999
"8182",16477,82131231439871
"8196",16500,4082016602475
"8209",16537,196
"8212",16545,15
"8219",16562,41721820
"8232",16594,5859000004500
"8238",16611,1360
"8248",16625,71437189176064
"8251",16631,343
"8258",16647,1719626644
"8263",16652,15980133715657680896
"8293",16708,77
"8304",16727,29370
"8307",16730,3138428376721
"8321",16758,6
"8322",16759,1.77088743107612e+20
"8330",16774,11436670
"8335",16783,869445237846
"8340",16795,739
"8342",16797,26859776918289536
"8349",16806,-112987031151647584
"8354",16813,2694
"8359",16829,151
"8400",16905,200000001
"8414",16927,1184832
"8436",16975,5
"8443",16983,2792
"8444",16987,132716292890482752
"8446",16991,74
"8449",16998,4480400
"8458",17015,56
"8470",17037,2.42222059270655e+22
"8476",17054,1367964
"8478",17057,24
"8482",17065,8522732505
"8503",17103,147
"8529",17173,194140618516940096
"8532",17176,286133435
"8536",17184,208
"8551",17207,41
"8560",17226,130334271942158
"8569",17240,12294697
"8570",17241,-275376771
"8573",17246,48406
"8574",17250,30820
"8601",17301,177510561422921
"8616",17331,785715
"8625",17346,5
"8643",17380,1258884
"8653",17396,1048576
"8655",17398,3
"8656",17400,217797151870
"8684",17454,233921270608
"8691",17474,295937460
"8711",17511,5
"8772",17638,6241
"8773",17640,4208
"8788",17663,7625597484987
"8841",17762,138975010110
"8868",17825,3249
"8882",17854,315902914
"8886",17861,364
"8915",17920,89
"8943",17985,118245785494
"8945",17990,281474959933440
"8965",18033,9.68575477600098e+20
"8966",18038,985354
"8973",18051,707
"8979",18060,78358
"9014",18118,609091866864400
"9032",18146,9
"9036",18164,1
"9039",18172,228658744
"9045",18187,2301230123012301
"9081",18258,3
"9082",18260,100
"9096",18286,318
"9105",18310,847285745315256
"9127",18359,2194287323184330
"9128",18362,8421966964069
"9139",18389,39088169
"9141",18392,41
"9146",18409,615571078569436
"9154",18424,1
"9161",18445,24254430695
"9184",18484,4.69374016882388e+23
"9187",18490,8
"9212",18536,-4
"9217",18543,591
"9219",18546,63
"9236",18583,393800111976
"9239",18588,114
"9275",18667,121
"9280",18677,1873244
"9298",18718,2692664118540
"9317",18767,8266953369
"9328",18783,64011280021
"9331",18788,610669320471
"9334",18791,12422046335161
"9336",18796,3564
"9338",18801,1056720
"9340",18806,18
"9348",18822,193614349514214
"9356",18842,164816746432131
"9366",18861,9
"9367",18864,7
"9375",18873,5e+17
"9387",18889,3
